Date,High,Low,Open,Close,Adj Close,Volume
2023-06-01,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-02,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-05,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-06,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-07,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-08,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-09,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-12,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-13,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-14,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-15,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-16,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-19,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-20,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-21,3.7,3.7,3.7,3.7,2.341,0.0
2023-06-22,2.8,2.8,2.8,2.8,2.341,0.0
2023-06-23,2.8,2.8,2.8,2.8,2.341,0.0
2023-06-26,2.8,2.8,2.8,2.8,2.341,0.0
2023-06-27,2.8,2.8,2.8,2.8,2.341,0.0
2023-06-28,2.8,2.8,2.8,2.8,2.341,0.0
2023-06-29,2.8,2.8,2.8,2.8,2.341,0.0
2023-06-30,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-03,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-04,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-05,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-06,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-07,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-10,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-11,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-12,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-13,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-14,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-17,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-18,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-19,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-20,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-21,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-24,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-25,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-26,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-27,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-28,2.8,2.8,2.8,2.8,2.341,0.0
2023-07-31,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-01,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-02,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-03,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-04,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-07,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-08,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-09,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-10,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-11,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-14,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-15,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-16,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-17,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-18,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-21,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-22,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-23,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-24,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-25,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-28,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-29,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-30,2.8,2.8,2.8,2.8,2.341,0.0
2023-08-31,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-05,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-06,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-07,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-08,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-11,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-12,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-13,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-14,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-15,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-18,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-19,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-20,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-21,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-22,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-25,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-26,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-27,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-28,2.8,2.8,2.8,2.8,2.341,0.0
2023-09-29,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-02,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-03,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-04,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-05,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-06,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-09,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-10,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-11,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-12,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-13,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-16,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-17,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-18,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-19,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-20,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-23,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-24,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-25,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-26,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-27,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-30,2.8,2.8,2.8,2.8,2.341,0.0
2023-10-31,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-01,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-02,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-03,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-06,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-07,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-08,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-09,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-10,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-13,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-14,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-15,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-16,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-17,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-20,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-21,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-22,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-23,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-24,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-27,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-28,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-29,2.8,2.8,2.8,2.8,2.341,0.0
2023-11-30,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-01,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-04,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-05,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-06,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-07,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-08,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-11,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-12,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-13,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-14,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-15,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-18,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-19,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-20,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-21,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-22,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-25,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-26,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-27,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-28,2.8,2.8,2.8,2.8,2.341,0.0
2023-12-29,2.8,2.8,2.8,2.8,2.341,0.0
